DATE	YEAR	STATE	CITY	PUBLIC	PRIVATE	FAMILY	FELONY	NON_STRANGER	NUMBER_LOCATIONS	LOCATION_PRIMARY	LOCATION_SECONDARY	UNSOLVED	SHOOTER_COUNT	SHOOTER_SUSPECTED	SHOOTER_MALE	SHOOTER_WHITE	SHOOTER_BLACK	SHOOTER_HISPANIC	SHOOTER_ASIAN	SHOOTER_OTHERNONWHITE	SHOOTER_IMMIGRANT	SHOOTER_AGE_UNDER18	SHOOTER_AGE_18TO24	SHOOTER_AGE_25TO29	SHOOTER_AGE_30TO39	SHOOTER_AGE_40TO49	SHOOTER_AGE_50TO59	SHOOTER_AGE_60PLUS	SHOOTER_FEMALE	SHOOTER_SUICIDE_ONSCENE	SHOOTER_SUICIDE_OFFSCENE	SHOOTER_KILLED_ONSCENE	SHOOTER_KILLED_OFFSCENE	SHOOTER_DETAINED_ONSCENE	SHOOTER_DETAINED_OFFSCENE	VICTIM_COUNT_SHOTINJURED	VICTIM_COUNT_SHOTFATAL	VICTIMS_MALE	VICTIMS_FEMALE	VICTIMS_AGE_UNDER18	VICTIMS_AGE_UNDER12	VICTIMS_AGE_12TO17	VICTIMS_AGE_18TO24	VICTIMS_AGE_25TO29	VICTIMS_AGE_30TO39	VICTIMS_AGE_40TO49	VICTIMS_AGE_50TO59	VICTIMS_AGE_60PLUS	VICTIMS_PREGNANT	VICTIMS_REL_ROMANTIC	VICTIMS_REL_COWORKERS	VICTIMS_REL_CHILDREN	VICTIMS_REL_OTHERFAMILY	VICTIMS_REL_OTHERNONSTRANGER	VICTIMS_REL_STRANGERS	GUNS_MULTIPLE	GUNS_HANDGUN	GUNS_SHOTGUN	GUNS_RIFLE	GUNS_ASSAULTWEAPON	DEFENSIVE_GUNS	OTHER_WEAPONS_USED	SHOOTING_DAYLIGHT	SHOOTER_PRIORARREST	SHOOTER_GANG	SHOOTER_VIOLENCE	SHOOTER_MENTALHEALTH	SHOOTER_MILITARY	SHOOTER_LAWENFORCE	SHOOTER_LOSTJOB	SHOOTER_FINANCIALSTRAIN	SHOOTER_SEPARATION	SHOOTER_CONFLICT	SHOOTER_OTHERSTRESS	SHOOTER_VICTIMABUSE	SHOOTER_VOICEMOTIVES	HATE_CRIME	SHOOTING_SPREE	SHOOTING_RURAL	SHOOTING_SUBURBAN	SHOOTING_URBAN	OFFICIAL_RECORDS	NEWS_ARTICLES_ORD	NEWS_MULTISTATE	NEWS_NYT	NEWS_LATIMES	NEWS_WAPOST	NEWS_CHICAGOTRIB
JUL-1982	1982	Montana	Thompson Falls	0	1	1	0	0	1	20	99	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	5	2	3	2	1	1	1	0	1	0	0	1	0	1	0	3	1	0	0	1	1	0	0	0	0	0	0	99	0	1	0	1	0	0	1	1	1	1	0	0	0	0	1	0	0	1	4	1	1	0	0	1
JUL-1982	1982	Texas	Fort Bend	1	0	0	1	0	1	10	99	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	4	4	0	2	0	2	1	1	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	99	99	1	1	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	1	1	1	0	0	0	0
JUL-1982	1982	Missouri	Dexter	1	0	0	1	0	1	3	99	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	4	3	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0
AUG-1982	1982	Florida	Miami	0	1	0	1	0	1	20	99	1	99	0	99	99	99	99	99	99	99	99	99	99	99	99	99	99	0	0	99	0	99	0	0	0	4	4	0	0	0	0	0	2	1	1	0	0	0	99	99	99	99	99	99	0	1	0	0	0	99	0	1	99	99	99	99	99	99	99	99	99	99	99	99	99	0	0	0	0	1	0	2	1	0	0	0	0
AUG-1982	1982	Texas	Grand Prarie	1	0	0	0	1	3	5	5	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	3	6	5	1	0	0	0	0	1	2	2	1	0	0	0	6	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	5	1	1	1	0	1
AUG-1982	1982	Texas	Fort Worth	0	1	0	0	1	2	20	20	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	5	3	2	1	1	0	0	0	3	0	1	0	0	0	0	0	0	1	4	0	1	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	1	1	1	0	0
AUG-1982	1982	Michigan	Detroit	0	1	0	1	0	1	20	99	0	3	0	3	0	3	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	1	4	3	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	3	1	0	0	0	0
AUG-1982	1982	Florida	Miami	1	0	0	0	0	1	24	99	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	3	8	6	2	0	0	0	0	1	1	3	1	2	0	0	0	0	0	8	0	0	0	1	0	0	0	0	1	99	0	99	1	1	0	1	0	0	1	0	0	1	0	0	0	0	1	0	5	1	1	1	1	1
AUG-1982	1982	Kansas	Wellington	0	1	1	0	0	1	20	99	0	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	4	3	1	0	0	0	1	1	0	2	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	1	99	0	99	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0
AUG-1982	1982	Louisiana	Marrero	0	1	1	0	0	1	20	99	0	1	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5	2	3	1	1	0	0	1	1	2	0	0	0	1	0	0	0	4	0	1	1	0	1	0	0	0	1	1	0	1	1	0	0	0	0	1	1	0	0	1	0	0	0	1	0	1	5	1	1	1	1	0
SEP-1982	1982	Alaska	Blaine	0	1	0	0	0	1	16	99	1	99	0	99	99	99	99	99	99	99	99	99	99	99	99	99	99	0	0	99	0	99	0	0	0	8	6	2	2	2	0	4	2	0	0	0	0	0	99	99	99	99	99	99	99	99	99	99	99	99	0	1	99	99	99	99	99	99	99	99	99	99	99	99	99	0	0	1	0	0	1	5	1	1	0	0	1
SEP-1982	1982	Pennsylvania	Wilkes-Barre	0	1	1	0	0	2	20	20	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	13	5	8	7	7	0	3	2	0	1	0	0	0	4	0	6	2	0	1	0	0	0	1	1	0	0	0	1	0	1	1	1	1	0	0	1	1	1	1	1	1	0	0	0	1	1	5	1	1	0	1	1
OCT-1982	1982	New York	Bronx	1	0	0	1	0	1	3	99	1	99	0	99	99	99	99	99	99	99	99	99	99	99	99	99	99	0	0	99	0	99	0	0	0	4	2	2	0	0	0	1	0	1	2	0	0	0	99	99	99	99	99	99	99	99	99	99	99	0	0	0	99	99	99	99	99	99	99	99	99	99	99	99	99	0	0	0	0	1	1	1	1	1	0	0	0
JAN-1983	1983	Iowa	Aplington	0	1	1	0	0	1	20	99	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	4	3	1	3	2	1	0	0	1	0	0	0	0	1	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	3	1	0	0	0	0
FEB-1983	1983	New York	New York	1	0	1	0	1	1	20	99	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	4	2	2	1	0	1	0	1	0	0	1	1	0	1	0	0	1	1	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	3	1	1	0	0	1
FEB-1983	1983	Florida	Fort Lauderdale	0	1	0	1	0	1	20	99	1	99	0	99	99	99	99	99	99	99	99	99	99	99	99	99	99	0	0	99	0	99	0	0	1	4	3	1	0	0	0	1	0	2	1	0	0	0	0	0	0	0	4	0	99	1	99	99	99	1	0	0	99	99	99	99	99	99	99	99	99	99	99	99	99	0	0	0	0	1	1	1	0	0	0	0	0
FEB-1983	1983	Washington	Seattle	1	0	0	1	0	1	47	99	0	2	0	2	0	0	0	2	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	13	12	1	0	0	0	0	0	0	2	8	3	0	0	0	0	0	13	0	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	5	1	1	1	1	0
MAR-1983	1983	Alaska	McCarthy	0	1	0	0	1	2	20	20	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	6	3	3	0	0	0	0	1	1	0	2	2	0	0	0	0	0	6	0	1	1	0	1	0	1	0	1	99	0	99	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	1	4	1	1	0	1	0
APR-1983	1983	Ohio	Springfield	0	1	1	0	1	1	20	99	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	4	1	3	0	0	0	0	0	0	1	1	2	0	0	0	0	2	2	0	0	1	0	0	0	0	0	99	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	2	1	1	0	0	0
APR-1983	1983	Virginia	Fairfax	0	1	1	0	0	1	20	99	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	4	1	3	3	3	0	0	0	0	1	0	0	0	1	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	99	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	1	0	1	1	0
JUL-1983	1983	Illinois	Joliet	1	0	0	1	0	1	13	99	0	1	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	5	4	1	0	0	0	0	3	1	0	1	0	0	0	0	0	0	0	5	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	4	1	1	1	0	1
JUL-1983	1983	Louisiana	Jennings	0	1	1	0	0	1	20	99	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	5	4	1	1	1	0	2	0	0	2	0	0	0	0	0	0	5	0	0	1	1	1	99	99	0	0	1	99	0	99	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	5	1	0	1	1	1
SEP-1983	1983	Texas	Kilgore	1	0	0	1	0	1	13	99	0	2	0	2	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	5	3	2	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	5	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	5	1	1	1	0	1
OCT-1983	1983	Texas	Sherman	0	1	0	1	0	1	25	99	0	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	4	4	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	5	1	1	0	0	0
OCT-1983	1983	Texas	Weslaco	1	1	1	1	0	3	20	20	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	6	3	3	0	0	0	0	1	2	0	0	3	0	0	0	0	2	1	4	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	1	1	0	1	5	1	1	0	0	0
OCT-1983	1983	Texas	Gilmer	0	1	1	0	0	1	20	99	0	1	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	4	1	3	3	3	0	0	0	1	0	0	0	0	1	0	3	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	3	1	0	0	0	0
NOV-1983	1983	Oregon	Portland	0	1	1	0	0	2	5	20	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	5	3	2	3	0	3	1	0	0	1	0	0	0	1	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	5	1	1	0	0	1
DEC-1983	1983	Wyoming	Gillette	0	1	0	0	1	2	20	20	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	5	4	1	2	1	1	1	0	2	0	0	0	0	0	0	0	0	4	1	1	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	5	1	1	1	0	1
FEB-1984	1984	Missouri	Desoto	0	1	1	0	1	2	20	20	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	4	2	2	0	0	0	0	0	0	2	2	0	0	1	0	0	0	3	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	4	1	0	0	0	0
FEB-1984	1984	Ohio	Maderia	0	1	1	0	0	1	20	99	0	1	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	4	0	4	3	3	0	0	0	0	1	0	0	0	1	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	1	0	0	0	0
APR-1984	1984	New York	New York City	0	1	0	1	0	1	20	99	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	10	3	7	8	6	2	2	0	0	0	0	0	1	0	0	0	0	10	0	1	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	5	1	1	1	1	1
APR-1984	1984	Illinois	Chicago	0	1	1	0	0	1	20	99	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	4	4	1	3	2	0	2	0	0	2	0	0	0	0	1	0	2	0	0	1	0	1	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	5	1	1	1	0	1
APR-1984	1984	California	Los Angeles	0	1	0	1	0	1	20	99	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	4	3	1	0	0	0	1	0	1	1	1	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	2	1	0	1	0	0
MAY-1984	1984	Alaska	Manley Hot-Springs	1	0	0	0	0	1	45	99	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	7	6	1	1	1	0	1	1	4	0	0	0	1	0	0	0	0	0	7	0	0	1	0	0	1	0	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	5	1	1	0	0	1
JUN-1984	1984	Texas	Dallas	1	0	0	0	1	1	3	99	0	1	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	6	2	4	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	1	1	5	1	1	1	0	1
JUL-1984	1984	California	San Ysidro	1	0	0	0	0	1	21	99	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	19	21	8	13	5	5	0	9	1	2	1	0	3	0	0	0	0	0	0	21	1	1	1	1	1	1	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	5	1	1	1	1	1
JUL-1984	1984	Arkansas	Hot Springs	1	0	0	0	0	1	3	99	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	5	2	3	0	0	0	0	0	1	1	2	0	0	0	0	0	0	1	3	0	1	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	5	1	1	1	0	1
AUG-1984	1984	Alabama	Etowah	1	0	0	1	0	1	23	99	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	4	3	1	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	1	0	0	0	0
AUG-1984	1984	California	Los Angeles	0	1	0	1	0	1	20	99	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	4	2	2	2	2	0	1	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	4	1	1	1	0	1
SEP-1984	1984	Maryland	Baltimore	0	1	1	0	0	1	20	99	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	4	2	2	3	2	1	0	0	1	0	0	0	0	1	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	1	4	1	0	0	0	0
SEP-1984	1984	Texas	Houston	0	1	0	1	0	1	20	99	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	4	2	2	1	1	0	1	1	1	0	0	0	0	0	0	0	0	1	3	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	1	0	0	0	0
OCT-1984	1984	California	Los Angeles	1	0	0	1	0	1	13	99	0	2	0	2	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	6	5	3	2	4	0	4	1	0	0	0	0	0	0	0	0	0	0	2	3	1	0	1	1	1	1	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	3	1	0	1	0	0
OCT-1984	1984	Indiana	Evansville	0	1	1	0	0	1	20	99	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	6	5	1	6	4	2	0	0	0	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	5	1	1	1	0	0
DEC-1984	1984	North Dakota	Grand Forks	0	1	1	0	0	1	20	99	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	4	1	3	3	3	0	0	0	1	0	0	0	0	1	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	0	0	0	0	0	0	0	1	0	1	2	1	0	0	0	0
JAN-1985	1985	Michigan	Grand Rapids	0	1	1	0	0	1	20	99	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	4	2	2	1	1	0	0	1	2	0	0	0	0	1	0	1	2	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	5	1	1	0	0	1
JAN-1985	1985	California	Santa Barbera	0	1	1	0	0	1	20	99	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	4	1	3	1	1	0	0	0	1	0	2	0	0	0	0	0	4	0	0	0	0	0	1	0	0	1	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	5	1	1	1	0	1
FEB-1985	1985	Texas	Houston	0	1	1	0	0	1	20	99	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	4	3	1	1	0	1	1	0	0	2	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	3	1	0	1	0	0
MAR-1985	1985	Pennsylvania	South Connellsville	1	0	0	0	0	1	48	99	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	4	4	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	5	1	1	1	1	1
APR-1985	1985	Washington DC	Washington DC	0	1	0	0	1	1	20	99	0	2	1	2	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	4	2	2	0	0	0	2	2	0	0	0	0	0	1	0	0	0	3	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	2	1	0	0	1	0
MAY-1985	1985	Georgia	Paulding	0	1	1	0	0	1	20	99	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	4	2	2	2	0	2	0	0	0	2	0	0	0	0	0	0	4	0	0	1	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0
JUN-1985	1985	California	El Cajon	0	1	1	0	0	1	20	99	0	1	1	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	5	3	2	0	0	0	0	1	2	0	1	1	0	1	0	0	4	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	1	5	1	0	1	0	1
JUN-1985	1985	Illinois	Springfield	0	1	0	1	0	1	20	99	0	2	0	2	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	4	2	2	0	0	0	1	2	1	0	0	0	0	0	0	0	0	4	0	1	1	0	0	0	0	0	0	99	0	99	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	2	1	0	0	0	1
AUG-1985	1985	California	Alameda	0	1	0	0	1	1	20	99	0	1	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	4	1	3	3	1	2	0	0	1	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	2	1	0	1	0	0
DEC-1985	1985	Missouri	Lathrop	0	1	1	0	0	1	20	99	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	4	3	1	2	1	1	0	0	1	1	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	2	1	1	0	0	1
MAR-1986	1986	New Hampshire	Lebanon	0	1	1	0	0	1	20	99	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	4	2	2	3	3	0	0	0	1	0	0	0	0	1	0	3	0	0	0	0	99	99	99	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	5	1	1	0	0	1
MAR-1986	1986	Texas	El Paso	0	1	0	0	1	1	21	99	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	2	2	2	1	1	0	0	2	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	5	1	0	0	0	0
APR-1986	1986	Kentucky	Lexington	1	0	0	1	1	3	10	10	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	5	3	2	0	0	0	0	0	0	2	2	1	0	0	0	0	0	5	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	5	1	1	1	1	1
APR-1986	1986	New York	Bronx	0	1	0	1	0	1	20	99	1	99	0	99	99	99	99	99	99	99	99	99	99	99	99	99	99	0	0	99	0	99	0	0	1	4	4	0	0	0	0	3	1	0	0	0	0	0	99	99	99	99	4	99	0	1	0	0	0	0	0	0	99	99	99	99	99	99	99	99	99	99	99	99	99	99	0	0	0	1	0	1	1	1	0	0	1
MAY-1986	1986	Colorado	Colorado Springs	1	0	0	1	0	2	3	7	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	5	1	4	0	0	0	2	1	0	1	1	0	0	0	0	0	0	1	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	5	1	1	0	0	0
JUL-1986	1986	Maryland	Baltimore	0	1	0	1	0	1	20	99	0	1	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	5	3	2	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	3	1	0	0	1	0
AUG-1986	1986	Oklahoma	Edmond	1	0	0	0	1	1	11	99	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	7	14	7	7	0	0	0	0	1	6	6	1	0	0	0	14	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	1	0	0	1	0	0	0	1	0	1	4	1	1	1	1	1
SEP-1986	1986	Missouri	Saline County	1	0	0	1	0	1	25	99	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	4	4	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	4	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	4	1	0	1	0	1
SEP-1986	1986	California	Inglewood	1	0	0	0	0	1	3	99	1	1	0	1	99	99	99	99	99	99	99	99	99	99	99	99	99	0	0	99	0	99	0	0	2	4	3	1	0	0	0	1	0	2	1	0	0	0	99	99	99	99	99	99	99	99	99	99	99	99	0	0	99	99	99	99	99	99	99	99	99	99	99	99	99	0	0	0	0	1	0	1	0	0	1	0	0
OCT-1986	1986	California	Mendocino	0	1	0	1	0	1	20	99	0	2	0	2	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	4	2	2	2	1	1	0	0	2	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	2	1	0	0	0	0
OCT-1986	1986	New York	Bronx	0	1	0	1	0	1	20	99	1	99	0	99	99	99	99	99	99	99	99	99	99	99	99	99	99	0	0	99	0	99	0	0	0	4	4	0	0	0	0	0	1	3	0	0	0	0	99	99	99	99	99	99	99	99	99	99	99	99	0	0	99	99	99	99	99	99	99	99	99	99	99	99	99	0	0	0	0	1	0	1	1	1	0	0	0
DEC-1986	1986	California	Oakland	0	1	1	0	0	1	20	99	0	2	0	1	0	2	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	2	6	2	4	3	2	1	2	0	1	0	0	0	0	1	0	0	0	5	0	1	1	0	1	0	0	0	0	1	1	1	1	0	0	0	0	1	1	0	0	1	0	0	0	1	0	1	2	1	1	1	0	0
